period,accountability_matrix,separationsCount,attritionRate,headcount,ageMeanYrs,tenureMeanYrs,recognitionEvents,supervisorsCount,lowPerffCount,highPerfCount,timeID
201001,Tech Dev,2,0.001893939393939394,1056,40.16287878787879,10.909564393939393,0,182,4,582,1
201001,Unknown,0,0,1,31.916666666666668,8.5,0,0,0,0,1
201002,Back End,35,0.007705856450902686,4542,37.344451783355346,10.94723323058858,0,461,19,1624,2
201002,CCG,0,0,283,39.30800942285041,8.368080094228505,0,59,6,132,2
201002,Central BU,0,0,3,47.02777777777778,14.694444444444445,0,0,0,3,2
201002,Central Eng & Strategy,0,0,9,34.93518518518518,10.00925925925926,0,1,0,7,2
201002,CNBU,1,0.013888888888888888,72,44.67824074074074,10.234953703703704,0,20,0,33,2
201002,Corporate,5,0.024390243902439025,205,44.021544715447156,12.382113821138212,0,47,0,126,2
201002,DEG,2,0.002890173410404624,692,39.95122832369942,10.796844894026975,0,122,3,294,2
201002,Finance,6,0.017142857142857144,350,40.707857142857144,9.684761904761904,0,105,5,158,2
201002,Front End,32,0.006933911159263272,4615,37.178403755868544,9.57298663777537,0,609,340,1278,2
201002,GCM,0,0,30,41.266666666666666,7.991666666666667,0,6,0,24,2
201002,Global Procurement,0,0,214,42.780373831775705,12.328271028037383,0,42,3,111,2
201002,GSC,1,0.00684931506849315,146,37.81506849315068,11.303082191780822,0,29,1,79,2
201002,HR,0,0,179,41.64199255121043,10.17364990689013,0,37,1,91,2
201002,IT,3,0.0052173913043478265,575,40.266376811594206,11.092753623188406,0,65,7,274,2
201002,Legal,0,0,70,44.21071428571429,10.302380952380952,0,18,1,51,2
201002,Lexar,1,0.007751937984496124,129,44.17700258397932,4.556847545219639,0,32,2,75,2
201002,MBU,1,0.030303030303030304,33,41.41161616161616,10.482323232323232,0,12,0,19,2
201002,NVEG,2,0.0028089887640449437,712,38.68059456928839,7.648291198501873,0,142,8,259,2
201002,Production Support,3,0.006550218340611353,458,44.666666666666664,12.150655021834062,0,80,1,333,2
201002,Quality,0,0,155,39.83763440860215,13.804301075268818,0,32,0,48,2
201002,Sales,1,0.0035587188612099642,281,39.106168446026096,8.627520759193358,0,65,0,111,2
201002,SBU,0,0,29,39.2816091954023,6.362068965517241,0,7,1,15,2
201002,Tech Dev,1,9.46969696969697e-4,1056,40.23666351010101,10.99526515151515,0,182,3,583,2
201003,Back End,26,0.005628924009525871,4619,37.146478314209425,10.839557624305405,0,461,16,1633,3
201003,CCG,1,0.0035971223021582736,278,39.60161870503597,8.230515587529977,0,59,6,129,3
201003,Central BU,0,0,3,47.111111111111114,14.777777777777779,0,0,0,3,3
201003,Central Eng & Strategy,0,0,9,35.01851851851852,10.092592592592593,0,1,0,7,3
201003,CNBU,0,0,73,44.582191780821915,10.550228310502282,0,22,0,34,3
201003,Corporate,1,0.004975124378109453,201,43.92620232172471,12.053482587064677,0,44,0,123,3
201003,DEG,0,0,695,39.940887290167865,10.79400479616307,0,123,3,294,3
201003,Finance,0,0,347,40.579731027857825,9.530979827089338,0,105,6,155,3
201003,Front End,27,0.005868289502282112,4601,37.316543505035135,9.664837354198363,0,606,337,1278,3
201003,GCM,0,0,30,41.35,8.075000000000001,0,6,0,24,3
201003,Global Procurement,1,0.004651162790697674,215,42.79767441860465,12.353488372093024,0,42,3,111,3
201003,GSC,2,0.014084507042253521,142,37.69424882629108,11.375,0,29,1,76,3
201003,HR,0,0,178,41.77200374531835,10.273876404494382,0,38,1,89,3
201003,IT,3,0.005253940455341506,571,40.30793928779918,11.194541739638062,0,63,7,271,3
201003,Legal,1,0.014285714285714285,70,44.294047619047625,10.38452380952381,0,19,1,51,3
201003,Lexar,0,0,129,44.14082687338501,4.630490956072351,0,32,2,76,3
201003,MBU,0,0,33,41.494949494949495,10.565656565656566,0,12,0,19,3
201003,NVEG,1,0.001379310344827586,725,38.698850574712644,7.566781609195402,0,143,8,264,3
201003,Production Support,3,0.006578947368421052,456,44.7733918128655,12.270833333333334,0,80,1,331,3
201003,Quality,0,0,158,39.925105485232066,13.979957805907175,0,34,0,45,3
201003,Sales,2,0.007067137809187279,283,39.20700824499411,8.616902237926974,0,65,0,111,3
201003,SBU,0,0,30,39.75555555555555,6.233333333333333,0,6,1,15,3
201003,Tech Dev,1,9.45179584120983e-4,1058,40.34916509136736,11.042296786389414,0,182,4,585,3
201004,Back End,42,0.00901481004507405,4659,37.132092008299345,10.819202976318238,0,466,18,1636,4
201004,CCG,5,0.018050541516245487,277,39.69374247894103,8.314981949458483,0,59,6,129,4
201004,Central BU,1,0.3333333333333333,3,42.861111111111114,12.861111111111112,0,1,0,3,4
201004,Central Eng & Strategy,0,0,9,35.101851851851855,10.175925925925926,0,1,0,7,4
201004,CNBU,0,0,73,44.51598173515982,10.757990867579908,0,22,0,34,4
201004,Corporate,0,0,200,44.168749999999996,12.185416666666667,0,48,0,121,4
201004,DEG,2,0.002840909090909091,704,39.80587121212121,10.721946022727273,0,124,4,296,4
201004,Finance,1,0.002890173410404624,346,40.65631021194605,9.590799614643545,0,105,6,155,4
201004,Front End,31,0.006750871080139373,4592,37.44381533101045,9.737460075493612,0,605,329,1285,4
201004,GCM,0,0,30,41.43333333333333,8.158333333333333,0,6,0,24,4
201004,Global Procurement,2,0.009433962264150943,212,43.00904088050314,12.474449685534593,0,41,3,109,4
201004,GSC,2,0.014084507042253521,142,37.994131455399064,11.743544600938968,0,29,1,78,4
201004,HR,1,0.0056179775280898875,178,41.85533707865169,10.356741573033707,0,38,1,88,4
201004,IT,4,0.007029876977152899,569,40.37829525483304,11.256736965436438,0,63,7,269,4
201004,Legal,0,0,69,44.44927536231884,10.417874396135266,0,17,1,51,4
201004,Lexar,0,0,130,44.269230769230774,4.678846153846154,0,33,2,77,4
201004,MBU,1,0.030303030303030304,33,41.57828282828283,10.641414141414142,0,11,0,19,4
201004,NVEG,9,0.012195121951219513,738,38.72301264679313,7.5453929539295395,0,143,8,270,4
201004,Production Support,0,0,453,44.86957321559971,12.35945548197204,0,80,1,329,4
201004,Quality,0,0,158,40.0084388185654,14.063291139240507,0,39,0,45,4
201004,Sales,0,0,280,39.348214285714285,8.824107142857143,0,65,0,109,4
201004,SBU,0,0,31,40.11021505376344,6.817204301075269,0,7,1,17,4
201004,Tech Dev,1,9.45179584120983e-4,1058,40.433679899180845,11.12822936357908,0,181,3,583,4
201004,Unknown,0,0,1,46.583333333333336,3.5,0,0,0,1,4
201005,Back End,76,0.016043909647456195,4737,36.959168953627476,10.691383435366971,0,463,23,1649,5
201005,CCG,0,0,272,39.84037990196078,8.464154411764705,0,59,5,128,5
201005,Central BU,0,0,2,35.625,2.9166666666666665,0,1,0,2,5
201005,Central Eng & Strategy,0,0,9,35.18518518518518,10.25925925925926,0,1,0,7,5
201005,CNBU,0,0,74,44.62725225225225,10.743243243243242,0,22,0,35,5
201005,Corporate,0,0,202,43.8556105610561,11.769389438943895,0,45,0,121,5
201005,DEG,4,0.005673758865248227,705,39.86347517730496,10.753900709219858,0,126,4,298,5
201005,Finance,1,0.002840909090909091,352,40.57930871212121,9.475852272727272,0,104,7,157,5
201005,Front End,18,0.00391304347826087,4600,37.56844202898551,9.829039855072464,0,602,324,1299,5
201005,GCM,1,0.03333333333333333,30,41.516666666666666,8.238888888888889,0,6,0,24,5
201005,Global Procurement,1,0.004739336492890996,211,42.935624012638236,12.451421800947868,0,43,3,109,5
201005,GSC,2,0.013793103448275862,145,37.57758620689655,11.39712643678161,0,28,1,77,5
201005,HR,1,0.0056179775280898875,178,41.881554307116104,10.426498127340823,0,38,1,88,5
201005,Inactive,0,0,2,48.375,20.208333333333332,0,0,1,0,5
201005,IT,3,0.00528169014084507,568,40.43603286384977,11.29357394366197,0,63,7,266,5
201005,Legal,0,0,69,44.7608695652174,10.339371980676328,0,17,0,51,5
201005,Lexar,0,0,130,44.35256410256411,4.762179487179487,0,33,2,76,5
201005,MBU,0,0,32,41.966145833333336,11.0234375,0,11,0,19,5
201005,NVEG,2,0.0026954177897574125,742,38.68418688230009,7.575022461814915,0,145,5,271,5
201005,Production Support,2,0.0044444444444444444,450,44.90314814814815,12.379074074074074,0,80,0,331,5
201005,Quality,0,0,158,40.09177215189873,14.14662447257384,0,38,0,45,5
201005,Sales,1,0.0035714285714285713,280,39.43452380952381,8.890178571428573,0,65,0,109,5
201005,SBU,0,0,33,40.16161616161616,6.484848484848484,0,7,1,18,5
201005,Tech Dev,3,0.0028625954198473282,1048,40.39464058524173,11.100906488549619,0,182,4,572,5
201006,Back End,63,0.013378636653217243,4709,37.0193954838253,10.756954767466553,0,464,23,1640,6
201006,CCG,2,0.007326007326007326,273,39.859584859584864,8.515873015873016,0,59,5,128,6
201006,Central BU,0,0,2,35.708333333333336,3,0,1,0,2,6
201006,Central Eng & Strategy,1,0.1111111111111111,9,35.26851851851852,10.342592592592593,0,1,0,7,6
201006,CNBU,0,0,74,44.710585585585584,10.826576576576576,0,22,0,35,6
201006,Corporate,1,0.006329113924050633,158,43.974683544303794,10.441983122362869,0,44,0,92,6
201006,DEG,2,0.0028208744710860366,709,39.91161259990597,10.781617301363424,0,125,4,301,6
201006,Finance,1,0.0028328611898017,353,40.65958451369216,9.46742209631728,0,103,5,159,6
201006,Front End,19,0.004106332396801383,4627,37.70392983214466,9.898422303868598,0,597,318,1311,6
201006,GCM,0,0,29,41.68103448275862,8.554597701149426,0,6,0,24,6
201006,Global Procurement,2,0.009523809523809525,210,43.088095238095235,12.571428571428571,0,42,3,108,6
201006,GSC,2,0.014084507042253521,142,37.38028169014084,11.136737089201878,0,26,1,75,6
201006,HR,3,0.016853932584269662,178,42.03511235955056,10.4812734082397,0,38,1,89,6
201006,Inactive,0,0,2,48.458333333333336,20.291666666666668,0,1,1,0,6
201006,IT,3,0.0053285968028419185,563,40.58999407933688,11.401272942569568,0,61,7,262,6
201006,Legal,0,0,69,44.844202898550726,10.422705314009661,0,17,0,51,6
201006,Lexar,2,0.015267175572519083,131,44.50127226463104,4.807888040712468,0,33,3,76,6
201006,MBU,1,0.03125,32,42.049479166666664,11.104166666666666,0,11,0,19,6
201006,NVEG,1,0.001336898395721925,748,38.6985294117647,7.594362745098039,0,149,5,272,6
201006,Production Support,0,0,448,45.050409226190474,12.454799107142856,0,79,0,337,6
201006,Quality,0,0,161,40.00155279503105,13.956521739130435,0,38,0,46,6
201006,Sales,3,0.010638297872340425,282,39.4934988179669,8.871158392434987,0,66,0,110,6
201006,SBU,0,0,34,40.575980392156865,6.394607843137255,0,8,1,19,6
201006,Tech Dev,2,0.0018779342723004694,1065,40.513067292644756,11.29679186228482,0,183,6,589,6
201006,Unknown,0,0,3,41,18.86111111111111,0,1,0,2,6
201007,Back End,62,0.01314116150911403,4718,37.056044227780134,10.782146389713155,0,462,25,1645,7
201007,CCG,1,0.0037174721189591076,269,39.987918215613384,8.66914498141264,0,62,5,126,7
201007,Central BU,0,0,2,35.791666666666664,3.0833333333333335,0,1,0,2,7
201007,Central Eng & Strategy,1,0.1111111111111111,9,35.351851851851855,10.416666666666666,0,1,0,7,7
201007,CNBU,0,0,74,44.79391891891891,10.909909909909908,0,22,0,35,7
201007,Corporate,1,0.00641025641025641,156,43.90705128205128,10.316239316239317,0,44,0,91,7
201007,DEG,1,0.0014084507042253522,710,39.99988262910798,10.831924882629108,0,130,3,305,7
201007,Finance,5,0.014164305949008499,353,40.688149197356,9.444050991501417,0,102,5,158,7
201007,Front End,28,0.006076388888888889,4608,37.76513671875,9.929144965277777,0,592,318,1293,7
201007,GCM,1,0.034482758620689655,29,41.764367816091955,8.635057471264368,0,6,0,24,7
201007,Global Procurement,3,0.014150943396226415,212,43.190644654088054,12.625786163522013,0,43,3,109,7
201007,GSC,1,0.007042253521126761,142,37.72241784037559,11.299882629107982,0,26,1,73,7
201007,HR,4,0.02247191011235955,178,42.02762172284644,10.421816479400748,0,38,1,90,7
201007,Inactive,0,0,3,41.86111111111111,16.083333333333332,0,1,1,2,7
201007,IT,1,0.0017761989342806395,563,40.708703374777976,11.436352871521612,0,61,6,263,7
201007,Legal,0,0,69,44.92753623188406,10.506038647342995,0,17,0,51,7
201007,Lexar,1,0.007692307692307693,130,44.75448717948718,4.851282051282051,0,33,2,76,7
201007,MBU,0,0,31,42.655913978494624,11.303763440860216,0,11,0,19,7
201007,NVEG,1,0.0013280212483399733,753,38.779548472775566,7.617861885790173,0,160,5,272,7
201007,Production Support,2,0.0044444444444444444,450,45.047037037037036,12.456666666666665,0,79,0,339,7
201007,Quality,1,0.006211180124223602,161,39.966873706004144,13.935817805383023,0,38,0,46,7
201007,Sales,2,0.006993006993006993,286,39.62674825174825,8.848193473193474,0,67,1,111,7
201007,SBU,0,0,34,40.6593137254902,6.477941176470588,0,9,1,19,7
201007,Tech Dev,5,0.004677268475210477,1069,40.59027128157156,11.372466479575927,0,183,6,590,7
201008,Back End,63,0.013177159590043924,4781,36.78172279160566,10.569302098584675,0,457,26,1632,8
201008,CCG,2,0.006872852233676976,291,40.15549828178694,9.275200458190149,0,71,6,145,8
201008,Central BU,0,0,2,35.875,3.1666666666666665,0,1,0,2,8
201008,Central Eng & Strategy,0,0,9,37.26851851851852,11.518518518518519,0,1,0,7,8
201008,CNBU,1,0.013513513513513514,74,44.87725225225225,10.992117117117118,0,22,0,35,8
201008,Corporate,1,0.0058823529411764705,170,43.25833333333333,10.036274509803922,0,47,2,99,8
201008,DEG,2,0.002793296089385475,716,40.08659217877095,10.811685288640597,0,129,3,305,8
201008,Finance,1,0.002824858757062147,354,40.72387005649718,9.455979284369116,0,104,5,159,8
201008,Front End,14,0.002994652406417112,4675,37.84103386809269,9.86632798573975,0,605,315,1317,8
201008,GCM,0,0,27,41.78086419753087,9.179012345679013,0,5,0,23,8
201008,Global Procurement,2,0.009174311926605505,218,42.86850152905199,12.138761467889909,0,43,3,112,8
201008,GSC,1,0.007518796992481203,133,37.854636591478695,11.272556390977444,0,24,1,66,8
201008,HR,3,0.016666666666666666,180,41.827777777777776,10.246759259259258,0,38,1,94,8
201008,Inactive,0,0,6,42.80555555555555,10.51388888888889,0,1,1,3,8
201008,IT,3,0.0053475935828877,561,40.796197266785505,11.497326203208557,0,61,6,260,8
201008,Legal,0,0,69,45.0108695652174,10.589371980676328,0,17,0,51,8
201008,Lexar,1,0.007751937984496124,129,44.88178294573643,4.905038759689923,0,33,1,76,8
201008,MBU,0,0,32,42.859375,11.6875,0,11,0,19,8
201008,NVEG,3,0.003926701570680628,764,38.83344240837696,7.591841186736475,0,162,5,276,8
201008,Production Support,1,0.0022026431718061676,454,45.131057268722465,12.608113069016154,0,79,0,343,8
201008,Quality,0,0,163,40.4079754601227,14.504089979550102,0,37,0,46,8
201008,Sales,1,0.003484320557491289,287,39.72038327526132,8.872241579558652,0,69,0,112,8
201008,SBU,1,0.029411764705882353,34,40.74264705882353,6.5588235294117645,0,9,1,19,8
201008,Tech Dev,3,0.002857142857142857,1050,40.67912698412699,11.429761904761904,0,181,4,576,8
201009,Back End,71,0.014915966386554623,4760,36.87536764705882,10.637622549019609,0,459,30,1605,9
201009,CCG,1,0.003424657534246575,292,40.36929223744292,9.368721461187215,0,71,5,147,9
201009,Central BU,0,0,2,35.958333333333336,3.25,0,1,0,2,9
201009,Central Eng & Strategy,0,0,8,37.229166666666664,11.270833333333334,0,1,0,6,9
201009,CNBU,0,0,73,45.05821917808219,11.079908675799087,0,22,0,35,9
201009,Corporate,31,0.004707668944570994,6585,36.4611364211592,0.36998228296633767,0,960,220,884,9
201009,DEG,1,0.0014005602240896359,714,40.14565826330532,10.841503267973856,0,129,3,306,9
201009,Finance,2,0.00558659217877095,358,40.628026070763504,9.432495344506519,0,108,5,160,9
201009,Front End,15,0.003104304635761589,4832,37.76885002759382,9.605184188741722,0,637,314,1352,9
201009,GCM,0,0,27,41.864197530864196,9.262345679012347,0,6,0,23,9
201009,Global Procurement,2,0.008620689655172414,232,42.96120689655172,11.669540229885058,0,47,3,115,9
201009,GSC,0,0,134,37.93283582089553,11.448383084577115,0,24,1,66,9
201009,HR,1,0.005494505494505495,182,41.54441391941392,10.012820512820513,0,41,0,93,9
201009,Inactive,0,0,7,42.89285714285714,9.095238095238095,0,2,1,4,9
201009,IT,4,0.007104795737122558,563,40.88143872113677,11.522646536412077,0,62,7,260,9
201009,Legal,1,0.014285714285714285,70,44.961904761904755,10.520238095238096,0,16,0,51,9
201009,Lexar,2,0.016666666666666666,120,44.47638888888889,5.052083333333333,0,30,0,74,9
201009,MBU,0,0,33,42.94191919191919,11.414141414141413,0,11,0,19,9
201009,NVEG,3,0.003911342894393742,767,38.84615384615385,7.651781833985225,0,164,5,277,9
201009,Production Support,0,0,452,45.23193215339233,12.726585545722713,0,79,0,342,9
201009,Quality,1,0.006097560975609756,164,40.50863821138211,14.6255081300813,0,37,0,46,9
201009,Sales,2,0.006993006993006993,286,39.65268065268065,8.924825174825175,0,69,0,110,9
201009,SBU,0,0,34,41.13970588235294,6.470588235294117,0,10,1,19,9
201009,Tech Dev,3,0.0028544243577545195,1051,40.71186171899778,11.46535045987948,0,181,4,578,9
201010,Back End,74,0.015352697095435684,4820,36.75112378976487,10.553734439834026,0,457,28,1603,10
201010,CCG,3,0.010344827586206896,290,40.46206896551724,9.450862068965517,0,69,5,145,10
201010,Central BU,0,0,3,41.61111111111111,8.166666666666666,0,2,0,3,10
201010,Central Eng & Strategy,0,0,9,36.78703703703704,10.101851851851853,0,1,0,5,10
201010,CNBU,0,0,72,44.99074074074074,10.917824074074074,0,21,0,37,10
201010,Corporate,113,0.01689593301435407,6688,36.425700259170654,0.43406100478468895,0,962,223,902,10
201010,DEG,4,0.005738880918220947,697,39.938187470109995,10.773194643711143,0,131,4,313,10
201010,Finance,3,0.008356545961002786,359,40.65181058495822,9.429201485608171,0,108,5,162,10
201010,Front End,19,0.003663003663003663,5187,37.27970567444252,8.94740055266371,0,662,317,1432,10
201010,GCM,0,0,27,41.94753086419753,9.345679012345679,0,5,0,23,10
201010,Global Procurement,2,0.008298755186721992,241,42.5850622406639,11.329529737206085,0,47,4,115,10
201010,GSC,2,0.014814814814814815,135,37.84753086419753,11.39567901234568,0,24,1,67,10
201010,HR,1,0.005405405405405406,185,41.65765765765766,10.075225225225225,0,42,0,94,10
201010,Inactive,0,0,9,40.324074074074076,7.157407407407407,0,3,1,4,10
201010,IT,5,0.008865248226950355,564,40.998965721040186,11.527925531914894,0,62,7,255,10
201010,Legal,3,0.043478260869565216,69,45.025362318840585,10.693236714975846,0,18,0,51,10
201010,Lexar,0,0,119,44.673669467787114,5.0399159663865545,0,30,0,74,10
201010,MBU,0,0,34,43.213235294117645,11.745098039215685,0,10,0,19,10
201010,NVEG,3,0.003826530612244898,784,38.897534013605444,7.668154761904762,0,165,4,283,10
201010,Production Support,0,0,453,45.3476821192053,12.873068432671081,0,78,0,342,10
201010,Quality,2,0.009478672985781991,211,40.09518167456556,13.882701421800947,0,45,0,76,10
201010,Sales,2,0.006968641114982578,287,39.83797909407665,8.901277584204413,0,69,0,109,10
201010,SBU,0,0,40,41.83958333333333,5.45625,0,9,1,22,10
201010,Tech Dev,2,0.0019138755980861245,1045,40.751834130781496,11.47408293460925,0,180,4,581,10
201011,Back End,65,0.013259893920848633,4902,36.53326873385013,10.39329185366517,0,454,35,1634,11
201011,CCG,0,0,291,40.56156930126002,9.469072164948454,0,67,5,148,11
201011,Central BU,0,0,3,41.69444444444444,8.25,0,2,0,3,11
201011,Central Eng & Strategy,0,0,10,36.1,9.174999999999999,0,1,0,5,11
201011,CNBU,0,0,73,44.86301369863014,10.545662100456621,0,21,0,38,11
201011,Corporate,72,0.010863005431502716,6628,36.44652735868035,0.5297726815530074,0,948,231,914,11
201011,DEG,4,0.005517241379310344,725,39.512988505747124,10.41,0,137,5,383,11
201011,Finance,2,0.0055248618784530384,362,40.538904235727436,9.393416206261511,0,107,4,161,11
201011,Front End,31,0.0057685150725716415,5374,37.041868254558985,8.694826944547822,0,670,315,1500,11
201011,GCM,1,0.03571428571428571,28,42.083333333333336,9.092261904761905,0,7,0,23,11
201011,Global Procurement,1,0.004048582995951417,247,42.59412955465587,11.364709851551957,0,46,4,116,11
201011,GSC,0,0,132,37.650252525252526,11.44760101010101,0,24,2,65,11
201011,HR,0,0,190,41.56754385964912,9.99561403508772,0,42,0,97,11
201011,Inactive,0,0,11,39.590909090909086,7.75,0,3,1,5,11
201011,IT,7,0.012280701754385965,570,41.05058479532163,11.446637426900585,0,62,7,254,11
201011,Legal,1,0.014705882352941176,68,45.10539215686274,10.60906862745098,0,17,0,51,11
201011,Lexar,1,0.00847457627118644,118,44.82132768361581,5.135593220338984,0,30,0,73,11
201011,MBU,0,0,34,43.296568627450974,11.82843137254902,0,11,0,16,11
201011,NVEG,2,0.00258732212160414,773,39.14995687796464,7.771129797326434,0,161,4,291,11
201011,Production Support,0,0,454,45.396475770925115,12.890051395007342,0,78,0,339,11
201011,Quality,2,0.008928571428571428,224,39.50892857142857,13.371279761904761,0,46,0,90,11
201011,Sales,0,0,308,39.89258658008658,8.675595238095239,0,71,1,118,11
201011,SBU,0,0,44,41.32386363636363,5.454545454545454,0,9,1,23,11
201011,Tech Dev,3,0.0028328611898017,1059,40.7935158954989,11.497088448221591,0,181,5,602,11
201011,Tech Pathfinding,0,0,3,41.5,0.08333333333333333,0,0,0,0,11
201012,Back End,60,0.012300123001230012,4878,36.70021866885336,10.52702610359437,0,456,32,1674,12
201012,CCG,2,0.006896551724137931,290,40.65028735632184,9.575574712643677,0,67,7,157,12
201012,Central BU,0,0,3,41.77777777777778,8.333333333333334,0,2,0,3,12
201012,Central Eng & Strategy,0,0,10,36.18333333333333,9.258333333333333,0,1,0,5,12
201012,CNBU,0,0,77,44.702380952380956,10.201298701298702,0,21,0,37,12
201012,Corporate,36,0.0054694621695533276,6582,36.38283703028461,0.6074648029980756,0,927,234,916,12
201012,DEG,1,0.001379310344827586,725,39.57701149425287,10.459999999999999,0,139,4,402,12
201012,Finance,0,0,367,40.414396003633065,9.325386012715713,0,110,3,174,12
201012,Front End,23,0.004227941176470588,5440,37.0328737745098,8.643995098039216,0,684,289,1589,12
201012,GCM,0,0,27,42.54012345679012,9.299382716049383,0,6,0,22,12
201012,Global Procurement,2,0.008064516129032258,248,42.589381720430104,11.39415322580645,0,46,4,122,12
201012,GSC,0,0,126,37.48346560846561,11.39616402116402,0,22,2,65,12
201012,HR,1,0.0051813471502590676,193,41.6653713298791,10.132556131260793,0,45,0,96,12
201012,Inactive,1,0.08333333333333333,12,39.75,5.506944444444444,0,3,1,3,12
201012,IT,0,0,549,41.27322404371585,11.56633272616879,0,63,6,258,12
201012,Legal,0,0,69,45.00483091787439,10.42391304347826,0,17,0,52,12
201012,Lexar,1,0.008403361344537815,119,45.00140056022409,5.1799719887955185,0,30,0,74,12
201012,MBU,0,0,35,43.17857142857142,11.573809523809523,0,11,0,18,12
201012,NVEG,3,0.00375,800,39.3571875,7.67875,0,162,5,303,12
201012,Production Support,0,0,455,45.378021978021984,12.913003663003662,0,78,0,350,12
201012,Quality,2,0.008888888888888889,225,39.70777777777778,13.524444444444443,0,48,0,96,12
201012,Sales,4,0.011235955056179775,356,40.36961610486892,8.990402621722847,0,84,3,128,12
201012,SBU,1,0.021739130434782608,46,40.98007246376812,5.297101449275362,0,11,2,26,12
201012,Tech Dev,3,0.002824858757062147,1062,40.846516007532955,11.5280131826742,0,182,5,612,12
201012,Tech Pathfinding,0,0,3,41.583333333333336,0.16666666666666666,0,0,0,0,12
201101,Back End,40,0.008113590263691683,4930,36.64396551724138,10.461866125760649,0,456,41,1736,13
201101,CCG,3,0.010452961672473868,287,40.7424506387921,9.685540069686411,0,68,9,161,13
201101,Central BU,0,0,3,41.86111111111111,8.416666666666666,0,2,0,3,13
201101,Central Eng & Strategy,0,0,10,36.266666666666666,9.341666666666667,0,1,0,5,13
201101,CNBU,0,0,80,44.57708333333333,10.042708333333334,0,22,0,38,13
201101,Corporate,118,0.017768408372233098,6641,36.39060382472519,0.688764242332982,0,931,239,929,13
201101,DEG,3,0.00410958904109589,730,39.53755707762557,10.472146118721462,0,139,5,413,13
201101,Finance,5,0.013020833333333334,384,40.430338541666664,9.34006076388889,0,114,3,188,13
201101,Front End,26,0.004701627486437613,5530,36.93954189270645,8.547498493068113,0,714,284,1787,13
201101,GCM,0,0,27,42.623456790123456,9.382716049382717,0,6,0,22,13
201101,Global Procurement,1,0.004,250,42.743,11.535666666666666,0,47,4,134,13
201101,GSC,0,0,125,37.506,11.437333333333333,0,23,1,70,13
201101,HR,2,0.006666666666666667,300,39.0875,8.9975,0,59,3,139,13
201101,Inactive,0,0,12,38.74305555555556,5.472222222222222,0,3,1,3,13
201101,IT,3,0.005415162454873646,554,41.38898916967509,11.56107099879663,0,62,11,272,13
201101,Legal,0,0,70,45.1845238095238,10.358333333333333,0,17,0,50,13
201101,Lexar,0,0,119,45.10504201680672,5.315826330532213,0,30,2,72,13
201101,MBU,0,0,34,43.56127450980392,11.659313725490195,0,12,0,17,13
201101,NVEG,4,0.0049813200498132005,803,39.364259028642586,7.6702988792029885,0,161,6,310,13
201101,Production Support,2,0.0043859649122807015,456,45.42415935672515,12.933845029239768,0,78,2,363,13
201101,Quality,0,0,239,39.77126917712692,13.446652719665272,0,50,2,108,13
201101,Sales,2,0.0057306590257879654,349,40.44388729703916,9.034622731614135,0,84,4,135,13
201101,SBU,0,0,47,41.187943262411345,5.26063829787234,0,11,2,27,13
201101,Tech Dev,4,0.0037488284910965324,1067,40.89315838800375,11.568338019368946,0,186,6,664,13
201101,Tech Pathfinding,0,0,3,41.666666666666664,0.25,0,0,0,0,13
